Total lines: 68221
   support      start        end closedset
       154       5549      66744 [usr local src git kamailio error fail register sip suspicion https cloud.brastel.com bcs web proxy cloudphone balance username password]
        69         13      10338 [usr local src git kamailio udp]
        66       8979      10028 [usr local src git kamailio udp send]
        47         13      10338 [usr local src git kamailio error udp]
        47         13      10338 [usr local src git kamailio invalid udp]
        44       8979      10027 [usr local src git kamailio invalid udp server.c send]
        44       8979      10028 [usr local src git kamailio error udp send]
        25         13      10338 [usr local src git kamailio error invalid udp]
        22       8981      10028 [usr local src git kamailio error udp send forward.h msg failed]
        22       8980      10027 [usr local src git kamailio invalid udp server.c send critical sendtoparameters possible reason server bound localhost attempts net]
        22       8979      10026 [usr local src git kamailio error invalid udp server.c send sendto sock argument]
        14       8979      10026 [usr local src git kamailio error invalid udp server.c send sendto sock bbd argument]
